Name;Country;UN_regional_group;System_of_Government;First_day_in_office;Last_day_in_office;Alma_mater;Location;Field_of_study;Source;Access_date 
Enrique Peña Nieto ;Mexico;GRULAC;Presidentialism;01/12/2012;30/11/2018;Universidad Panamericana;Mexico;Law;https://www.cidob.org/biografias_lideres_politicos/america_del_norte/mexico/enrique_pena_nieto/(language)/esl-ES;20/11/2022
Felipe de Jesús Calderón Hinojosa ;Mexico;GRULAC;Presidentialism;01/12/2006;30/11/2012;Escuela Libre de Derecho;Mexico;Law;https://www.cidob.org/biografias_lideres_politicos/america_del_norte/mexico/felipe_calderon_hinojosa/(language)/esl-ES;20/11/2022
Felipe de Jesús Calderón Hinojosa ;Mexico;GRULAC;Presidentialism;01/12/2006;30/11/2012;Escuela Libre de Derecho;Mexico;Economics (MA);https://www.cidob.org/biografias_lideres_politicos/america_del_norte/mexico/felipe_calderon_hinojosa/(language)/esl-ES;20/11/2022
Felipe de Jesús Calderón Hinojosa ;Mexico;GRULAC;Presidentialism;01/12/2006;30/11/2012;Universidad de Harvard;United States;Public Administration (MA);https://www.cidob.org/biografias_lideres_politicos/america_del_norte/mexico/felipe_calderon_hinojosa/(language)/esl-ES;20/11/2022
Vicente Fox Quesada ;Mexico;GRULAC;Presidentialism;01/12/2000;30/11/2006;Universidad Iberoamericana;Mexico;Business Administration (unfinished);https://www.cidob.org/biografias_lideres_politicos/america_del_norte/mexico/vicente_fox_quesada/(language)/esl-ES;20/11/2022
Vicente Fox Quesada ;Mexico;GRULAC;Presidentialism;01/12/2000;30/11/2006;Harvard University;United States;Business Administration;https://www.cidob.org/biografias_lideres_politicos/america_del_norte/mexico/vicente_fox_quesada/(language)/esl-ES;20/11/2022
Ernesto Zedillo Ponce de León ;Mexico;GRULAC;Presidentialism;01/12/1994;30/11/2000;Escuela Superior de Economía del Instituto Politécnico Nacional ;Mexico;Economics;https://www.cidob.org/biografias_lideres_politicos/america_del_norte/mexico/ernesto_zedillo_ponce_de_leon/(language)/esl-ES;20/11/2022
Ernesto Zedillo Ponce de León ;Mexico;GRULAC;Presidentialism;01/12/1994;30/11/2000;Yale University;United States;Economics;https://www.cidob.org/biografias_lideres_politicos/america_del_norte/mexico/ernesto_zedillo_ponce_de_leon/(language)/esl-ES;20/11/2022
Ernesto Zedillo Ponce de León ;Mexico;GRULAC;Presidentialism;01/12/1994;30/11/2000;Yale University;United States;Economics (Ph.D.);https://www.cidob.org/biografias_lideres_politicos/america_del_norte/mexico/ernesto_zedillo_ponce_de_leon/(language)/esl-ES;20/11/2022
Carlos Salinas de Gortari ;Mexico;GRULAC;Presidentialism;01/12/1988;30/11/1994;Universidad Nacional Autónoma de México ;Mexico;Economics;https://www.cidob.org/biografias_lideres_politicos/america_del_norte/mexico/carlos_salinas_de_gortari/(language)/esl-ES;20/11/2022
Carlos Salinas de Gortari ;Mexico;GRULAC;Presidentialism;01/12/1988;30/11/1994;Harvard University;United States;Public Administration (MA);https://www.cidob.org/biografias_lideres_politicos/america_del_norte/mexico/carlos_salinas_de_gortari/(language)/esl-ES;20/11/2022
Carlos Salinas de Gortari ;Mexico;GRULAC;Presidentialism;01/12/1988;30/11/1994;Harvard University;United States;Political economy (MA);https://www.cidob.org/biografias_lideres_politicos/america_del_norte/mexico/carlos_salinas_de_gortari/(language)/esl-ES;20/11/2022
Carlos Salinas de Gortari ;Mexico;GRULAC;Presidentialism;01/12/1988;30/11/1994;Harvard University;United States;Polical economy and government (Ph.D.);https://www.cidob.org/biografias_lideres_politicos/america_del_norte/mexico/carlos_salinas_de_gortari/(language)/esl-ES;20/11/2022
José Daniel Ortega Saavedra ;Nicaragua;GRULAC;Presidentialism;10/01/2007;-;Universidad Centroamericana ;Nicaragua;Law (unfinished);https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/nicaragua/daniel_ortega_saavedra/(language)/esl-ES;20/11/2022
Enrique José Bolaños Geyer ;Nicaragua;GRULAC;Presidentialism;10/01/2022;10/01/2007;"	Saint Louis University";United States;Engineering;https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/nicaragua/enrique_bolanos_geyer/(language)/esl-ES;20/11/2022
Enrique José Bolaños Geyer ;Nicaragua;GRULAC;Presidentialism;10/01/2022;10/01/2007;Instituto Centroamericano de Administración de Empresas (INCAE) ;Costa Rica;-;https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/nicaragua/enrique_bolanos_geyer/(language)/esl-ES;20/11/2022
José Arnoldo Alemán Lacayo ;Nicaragua;GRULAC;Presidentialism;10/01/1997;10/01/2002;Universidad Nacional Autónoma ;Nicaragua;Law;https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/nicaragua/arnoldo_aleman_lacayo/(language)/esl-ES;20/11/2022
Violeta Barrios Torres de Chamorro ;Nicaragua;GRULAC;Presidentialism;25/04/1990;10/01/1997;Blackstone College for Girls;United States;Secretariat (unfinished);https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/nicaragua/violeta_barrios_de_chamorro/(language)/esl-ES;20/11/2022
Juan Carlos Varela Rodríguez ;Panama;GRULAC;Presidentialism;01/07/2014;01/07/2019;Georgia Institute of Technology;United States;Industrial engineering;https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/panama/juan_carlos_varela_rodriguez/(language)/esl-ES;20/11/2022
Ricardo Alberto Martinelli Berrocal ;Panama;GRULAC;Presidentialism;01/07/2009;01/07/2014;University of Arkansas, Fayetteville;United States;Business Administration;https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/panama/ricardo_martinelli_berrocal/(language)/esl-ES;20/11/2022
Ricardo Alberto Martinelli Berrocal ;Panama;GRULAC;Presidentialism;01/07/2009;01/07/2014;Instituto Centroamericano de Administración de Empresas;Costa Rica;Finance (MA);https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/panama/ricardo_martinelli_berrocal/(language)/esl-ES;20/11/2022
Martín Erasto Torrijos Espino ;Panama;GRULAC;Presidentialism;01/09/2004;01/07/2009;Texas Agricultural and Mechanical University ;United States;Political Science and Economics;https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/panama/martin_torrijos_espino/(language)/esl-ES;20/11/2022
Mireya Elisa Moscoso Rodríguez de Arias ;Panama;GRULAC;Presidentialism;01/09/1999;01/09/2004;Miami Dade Community College;United States;Interior design;https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/panama/mireya_moscoso_de_arias/(language)/esl-ES;20/11/2022
Ernesto Pérez Balladares González-Revilla ;Panama;GRULAC;Presidentialism;01/09/1994;01/09/1999;University of Notre Dame ;United States;Economics and Finance (BA);https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/panama/ernesto_perez_balladares/(language)/esl-ES;20/11/2022
Ernesto Pérez Balladares González-Revilla ;Panama;GRULAC;Presidentialism;01/09/1994;01/09/1999;University of Pennsylvania.;United States;Business Administration (MA);https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/panama/ernesto_perez_balladares/(language)/esl-ES;20/11/2022
Guillermo David Endara Galimany;Panama;GRULAC;Presidentialism;20/12/1989;01/09/1994;Universidad de Panamá;Panama;Law and Political Science;https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/panama/guillermo_endara_galimany/(language)/esl-ES;20/11/2022
Guillermo David Endara Galimany;Panama;GRULAC;Presidentialism;20/12/1989;01/09/1994;New York University;United States;Law;https://www.cidob.org/biografias_lideres_politicos/america_central_y_caribe/panama/guillermo_endara_galimany/(language)/esl-ES;20/11/2022
Horacio Manuel Cartes Jara ;Paraguay;GRULAC;Presidentialism;15/08/2013;15/08/2018;Spartan School of Aeronautics;United States;Aviation mechanics ;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/paraguay/horacio_cartes_jara/(language)/esl-ES;20/11/2022
Luis Federico Franco Gómez ;Paraguay;GRULAC;Presidentialism;22/06/2012;15/08/2013;Universidad Nacional de Asunción ;Paraguay;Medicine;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/paraguay/federico_franco_gomez/(language)/esl-ES;20/11/2022
Fernando Armindo Lugo Méndez ;Paraguay;GRULAC;Presidentialism;15/08/2008;22/06/2012;Universidad Católica Nuestra Señora de la Asunción ;Paraguay;Theology;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/paraguay/fernando_lugo_mendez/(language)/esl-ES;20/11/2022
Fernando Armindo Lugo Méndez ;Paraguay;GRULAC;Presidentialism;15/08/2008;22/06/2012;Pontificia Universidad Gregoriana;Italy;Theology;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/paraguay/fernando_lugo_mendez/(language)/esl-ES;20/11/2022
Óscar Nicanor Duarte Frutos ;Paraguay;GRULAC;Presidentialism;15/08/2003;15/08/2008;Universidad Católica de Asunción ;Paraguay;Law;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/paraguay/nicanor_duarte_frutos/(language)/esl-ES;20/11/2022
Óscar Nicanor Duarte Frutos ;Paraguay;GRULAC;Presidentialism;15/08/2003;15/08/2008;Universidad Nacional de Asunción;Paraguay;Philosophy;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/paraguay/nicanor_duarte_frutos/(language)/esl-ES;20/11/2022
Óscar Nicanor Duarte Frutos ;Paraguay;GRULAC;Presidentialism;15/08/2003;15/08/2008;Universidad Nacional de Asunción;Paraguay;Political Science (MA);https://www.cidob.org/biografias_lideres_politicos/america_del_sur/paraguay/nicanor_duarte_frutos/(language)/esl-ES;20/11/2022
Luis Ángel González Macchi;Paraguay;GRULAC;Presidentialism;29/03/1999;15/08/2003;Universidad Nacional de Asunción;Paraguay;Law and Social Sciences;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/paraguay/luis_gonzalez_macchi/(language)/esl-ES;20/11/2022
Raúl Cubas Grau;Paraguay;GRULAC;Presidentialism;15/08/1998;29/03/1999;Pontifícia Universidade Católica do Rio de Janeiro ;Brazil;Electrical engineering;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/paraguay/raul_cubas_grau/(language)/esl-ES;20/11/2022
Juan Carlos Wasmosy Monti ;Paraguay;GRULAC;Presidentialism;15/08/1993;15/08/1998;Universidad Nacional de Asunción ;Paraguay;Civil engineering;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/paraguay/juan_carlos_wasmosy_monti/(language)/esl-ES;20/11/2022
Andrés Rodríguez Pedotti ;Paraguay;GRULAC;Presidentialism;03/02/1989;15/08/1993;Colegio Militar Mariscal Francisco Solano López;Paraguay;-;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/paraguay/andres_rodriguez_pedotti/(language)/esl-ES;20/11/2022
Pedro Pablo Kuczynski Godard ;Peru;GRULAC;Presidentialism;28/07/2016;23/03/2018;Oxford University;United Kingdom;Political Science and Economics;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/peru/pedro_pablo_kuczynski_godard/(language)/esl-ES;20/11/2022
Pedro Pablo Kuczynski Godard ;Peru;GRULAC;Presidentialism;28/07/2016;23/03/2018;Princeton University;United States;Public Administration (MA);https://www.cidob.org/biografias_lideres_politicos/america_del_sur/peru/pedro_pablo_kuczynski_godard/(language)/esl-ES;20/11/2022
Ollanta Moisés Humala Tasso ;Peru;GRULAC;Presidentialism;28/07/2011;28/07/2016;Escuela Militar Coronel Francisco Bolognesi de Chorrillos ;Peru;-;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/peru/ollanta_humala_tasso/(language)/esl-ES;20/11/2022
Ollanta Moisés Humala Tasso ;Peru;GRULAC;Presidentialism;28/07/2011;28/07/2016;Pontificia Universidad Católica del Perú;Peru;Political Science (MA);https://www.cidob.org/biografias_lideres_politicos/america_del_sur/peru/ollanta_humala_tasso/(language)/esl-ES;20/11/2022
Alan Gabriel Ludwig García Pérez ;Peru;GRULAC;Presidentialism;28/07/2006;28/07/2011;Pontificia Universidad Católica del Perú ;Peru;Law;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/peru/alan_garcia_perez/(language)/esl-ES;20/11/2022
Alan Gabriel Ludwig García Pérez ;Peru;GRULAC;Presidentialism;28/07/2006;28/07/2011;Universidad Nacional Mayor de San Marcos;Peru;Law;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/peru/alan_garcia_perez/(language)/esl-ES;20/11/2022
Alan Gabriel Ludwig García Pérez ;Peru;GRULAC;Presidentialism;28/07/2006;28/07/2011;Universidad Complutense de Madrid;Madrid;Law (Ph.D.);https://www.cidob.org/biografias_lideres_politicos/america_del_sur/peru/alan_garcia_perez/(language)/esl-ES;20/11/2022
Alan Gabriel Ludwig García Pérez ;Peru;GRULAC;Presidentialism;28/07/2006;28/07/2011;Universidad de la Sorbona;France;Sociology;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/peru/alan_garcia_perez/(language)/esl-ES;20/11/2022
Alejandro Celestino Toledo Manrique ;Peru;GRULAC;Presidentialism;28/07/2001;28/07/2006;University of San Francisco;United States;Economics;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/peru/alejandro_toledo_manrique/(language)/esl-ES;20/11/2022
Alejandro Celestino Toledo Manrique ;Peru;GRULAC;Presidentialism;28/07/2001;28/07/2006;Stanford University;United States;Economics;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/peru/alejandro_toledo_manrique/(language)/esl-ES;20/11/2022
Alejandro Celestino Toledo Manrique ;Peru;GRULAC;Presidentialism;28/07/2001;28/07/2006;Stanford University;United States;Education;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/peru/alejandro_toledo_manrique/(language)/esl-ES;20/11/2022
Alejandro Celestino Toledo Manrique ;Peru;GRULAC;Presidentialism;28/07/2001;28/07/2006;Stanford University;United States;Education (Ph.D.);https://www.cidob.org/biografias_lideres_politicos/america_del_sur/peru/alejandro_toledo_manrique/(language)/esl-ES;20/11/2022
Valentín Toribio Demetrio Agustin Paniagua Corazao ;Peru;GRULAC;Presidentialism;22/11/2000;28/07/2001;National University of San Antonio Abad;Peru;Spanish and Law;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/peru/valentin_paniagua_corazao/(language)/esl-ES;20/11/2022
Valentín Toribio Demetrio Agustin Paniagua Corazao ;Peru;GRULAC;Presidentialism;22/11/2000;28/07/2001;Universidad Nacional Mayor de San Marcos ;Peru;Law;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/peru/valentin_paniagua_corazao/(language)/esl-ES;20/11/2022
Alberto Kenya Fujimori Inomoto;Peru;GRULAC;Presidentialism;28/07/1990;22/11/2000;Universidad Nacional Agraria La Molina ;Peru;Agricultural engineer;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/peru/alberto_fujimori/(language)/esl-ES;20/11/2022
Alberto Kenya Fujimori Inomoto;Peru;GRULAC;Presidentialism;28/07/1990;22/11/2000;Université de Strasbourg;France;Mathematics;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/peru/alberto_fujimori/(language)/esl-ES;20/11/2022
Alberto Kenya Fujimori Inomoto;Peru;GRULAC;Presidentialism;28/07/1990;22/11/2000;University of Wisconsin;United States;Mathematics (MA);https://www.cidob.org/biografias_lideres_politicos/america_del_sur/peru/alberto_fujimori/(language)/esl-ES;20/11/2022
Allen Michael Chastanet;Saint Lucia;GRULAC;Parliamentarism;07/06/2016;28/07/2021;Bishops University ;Canada;Economics and Political Science (BA);http://www.caribbeanelections.com/knowledge/biography/bios/chastanet_allen.asp;20/11/2022
Allen Michael Chastanet;Saint Lucia;GRULAC;Parliamentarism;07/06/2016;28/07/2021;American University;United States;Development Banking (MA);http://www.caribbeanelections.com/knowledge/biography/bios/chastanet_allen.asp;20/11/2022
Kenny Davis Anthony ;Saint Lucia;GRULAC;Parliamentarism;30/11/2011;07/06/2016;University of the West Indies ;Jamaica;Law;http://www.caribbeanelections.com/knowledge/biography/bios/anthony_kenny.asp;20/11/2022
Kenny Davis Anthony ;Saint Lucia;GRULAC;Parliamentarism;30/11/2011;07/06/2016;University of Birmingham;United Kingdom;Law (Ph.D.);http://www.caribbeanelections.com/knowledge/biography/bios/anthony_kenny.asp;20/11/2022
Stephenson King ;Saint Lucia;GRULAC;Parliamentarism;01/05/2007;30/11/2011;-;-;-;http://www.caribbeanelections.com/knowledge/biography/bios/king_stephenson.asp;20/11/2022
John George Melvin Compton;Saint Lucia;GRULAC;Parliamentarism;11/12/2006;07/09/2007;University of Wales;United Kingdom;Law and Economics;http://www.caribbeanelections.com/knowledge/biography/bios/compton_john.asp;20/11/2022
Kenny Davis Anthony ;Saint Lucia;GRULAC;Parliamentarism;24/05/1997;15/12/2006;University of the West Indies ;Jamaica;Law;http://www.caribbeanelections.com/knowledge/biography/bios/anthony_kenny.asp;20/11/2022
Kenny Davis Anthony ;Saint Lucia;GRULAC;Parliamentarism;24/05/1997;15/12/2006;University of Birmingham;United Kingdom;Law (Ph.D.);http://www.caribbeanelections.com/knowledge/biography/bios/anthony_kenny.asp;20/11/2022
Vaughan Allen Lewis;Saint Lucia;GRULAC;Parliamentarism;02/04/1996;24/05/1997;University of Manchester ;United Kingdom;Political science;http://www.caribbeanelections.com/knowledge/biography/bios/lewis_vaughan.asp;20/11/2022
Vaughan Allen Lewis;Saint Lucia;GRULAC;Parliamentarism;02/04/1996;24/05/1997;University of Manchester ;United Kingdom;Political Science (PhD);http://www.caribbeanelections.com/knowledge/biography/bios/lewis_vaughan.asp;20/11/2022
John George Melvin Compton;Saint Lucia;GRULAC;Parliamentarism;03/11/1982;02/04/1996;University of Wales;United Kingdom;Law and Economics;http://www.caribbeanelections.com/knowledge/biography/bios/compton_john.asp;20/11/2022
Timothy Sylvester Harris ;Saint Kitts and Nevis ;GRULAC;Parliamentarism;18/02/2015;06/08/2022;University of the West Indies - Cave Hill ;Barbados;Accounting;http://www.caribbeanelections.com/knowledge/biography/bios/harris_timothy.asp;20/11/2022
Timothy Sylvester Harris ;Saint Kitts and Nevis ;GRULAC;Parliamentarism;18/02/2015;06/08/2022;University of the West Indies - St. Augustine Campus;Barbados;Accounting (MA);http://www.caribbeanelections.com/knowledge/biography/bios/harris_timothy.asp;20/11/2022
Timothy Sylvester Harris ;Saint Kitts and Nevis ;GRULAC;Parliamentarism;18/02/2015;06/08/2022;Concordia University;Canada;Administration and Accounting (Ph.D.);http://www.caribbeanelections.com/knowledge/biography/bios/harris_timothy.asp;20/11/2022
Denzil Llewellyn Douglas ;Saint Kitts and Nevis ;GRULAC;Parliamentarism;06/07/1995;18/02/2015;University of West Indies - Mona Campus;Jamaica;Medicine;http://www.caribbeanelections.com/knowledge/biography/bios/douglas_denzil.asp;20/11/2022
Kennedy Alphonse Simmonds;Saint Kitts and Nevis ;GRULAC;Parliamentarism;19/07/1983;07/07/1995;University of West Indies - Mona Campus;Jamaica;Medicine;http://www.caribbeanelections.com/knowledge/biography/bios/simmonds_kennedy.asp;20/11/2022
Kennedy Alphonse Simmonds;Saint Kitts and Nevis ;GRULAC;Parliamentarism;19/07/1983;07/07/1995;Kingston Public Hospital;Jamaica;Medicine;http://www.caribbeanelections.com/knowledge/biography/bios/simmonds_kennedy.asp;20/11/2022
Ralph Everard Gonsalves ;Saint Vincent and the Grenadines;GRULAC;Parliamentarism;28/03/2001;-;University of West Indies - Mona Campus;Jamaica;Economics (BA);http://www.caribbeanelections.com/knowledge/biography/bios/gonsalves_ralph.asp;20/11/2022
Ralph Everard Gonsalves ;Saint Vincent and the Grenadines;GRULAC;Parliamentarism;28/03/2001;-;University of West Indies - Mona Campus;Jamaica;Public Administration (MA);http://www.caribbeanelections.com/knowledge/biography/bios/gonsalves_ralph.asp;20/11/2022
Ralph Everard Gonsalves ;Saint Vincent and the Grenadines;GRULAC;Parliamentarism;28/03/2001;-;University of Manchester;United Kingdom;Public Administration (Ph.D.);http://www.caribbeanelections.com/knowledge/biography/bios/gonsalves_ralph.asp;20/11/2022
Arnhim Ulric Eustace ;Saint Vincent and the Grenadines;GRULAC;Parliamentarism;27/10/2000;28/03/2001;Sir George William University ;Canada;Economics (BA);http://www.caribbeanelections.com/knowledge/biography/bios/eustace_arnhim.asp;20/11/2022
Arnhim Ulric Eustace ;Saint Vincent and the Grenadines;GRULAC;Parliamentarism;27/10/2000;28/03/2001;University of Windsor;Canada;Development Economics (MSc);http://www.caribbeanelections.com/knowledge/biography/bios/eustace_arnhim.asp;20/11/2022
James Fitz-Allen Mitchell ;Saint Vincent and the Grenadines;GRULAC;Parliamentarism;30/07/1984;27/10/2000;University of British Colombia;Canada;Agronomy;http://www.caribbeanelections.com/knowledge/biography/bios/mitchell_james.asp;20/11/2022
Desiré Delano Bouterse;Suriname;GRULAC;Presidentialism;12/08/2010;16/07/2020;Koninklijke Militaire School;Netherlands;-;https://archive.ph/OU1JZ#selection-1099.137-1099.175;20/11/2022
Ronald Runaldo Venetiaan ;Suriname;GRULAC;Presidentialism;12/08/2000;12/08/2010;Leiden University ;Netherlands;Mathematics ;http://www.caribbeanelections.com/knowledge/biography/bios/venetiaan_ronald.asp;20/11/2022
Jules Albert Wijdenbosch ;Suriname;GRULAC;Presidentialism;15/09/1996;12/08/2000;Universiteit van Amsterdam;Netherlands;Political Science;http://www.caribbeanelections.com/knowledge/biography/bios/wijdenbosch_jules.asp;20/11/2022
Ronald Runaldo Venetiaan ;Suriname;GRULAC;Presidentialism;16/09/1991;15/09/1996;Leiden University ;Netherlands;Mathematics ;http://www.caribbeanelections.com/knowledge/biography/bios/venetiaan_ronald.asp;20/11/2022
Keith Christopher Rowley ;Trinidad and Tobago;GRULAC;Parliamentarism;09/09/2015;-;University of West Indies - Mona Campus;Jamaica;Geology and Geography;http://www.caribbeanelections.com/knowledge/biography/bios/rowley_keith.asp;21/11/2022
Keith Christopher Rowley ;Trinidad and Tobago;GRULAC;Parliamentarism;09/09/2015;-;The University of the West Indies - St. Augustine Campus;Trinidad and Tobago;Volcanic Stratigraphy (MSc);http://www.caribbeanelections.com/knowledge/biography/bios/rowley_keith.asp;21/11/2022
Keith Christopher Rowley ;Trinidad and Tobago;GRULAC;Parliamentarism;09/09/2015;-;The University of the West Indies - St. Augustine Campus;Trinidad and Tobago;Geology (Ph.D.);http://www.caribbeanelections.com/knowledge/biography/bios/rowley_keith.asp;21/11/2022
Kamla Persad-Bissessar ;Trinidad and Tobago;GRULAC;Parliamentarism;26/05/2010;09/09/2015;Norwood Technical College;United Kingdom;Law;https://www.facebook.com/story.php?story_fbid=10156359453829798&id=348203869797;21/11/2022
Kamla Persad-Bissessar ;Trinidad and Tobago;GRULAC;Parliamentarism;26/05/2010;09/09/2015;University of West Indies - Mona Campus;Jamaica;Education;http://www.caribbeanelections.com/knowledge/biography/bios/persad_bissessar_kamla.asp;21/11/2022
Kamla Persad-Bissessar ;Trinidad and Tobago;GRULAC;Parliamentarism;26/05/2010;09/09/2015;Hugh Wooding Law School;Trinidad and Tobago;Law;http://www.caribbeanelections.com/knowledge/biography/bios/persad_bissessar_kamla.asp;21/11/2022
Kamla Persad-Bissessar ;Trinidad and Tobago;GRULAC;Parliamentarism;26/05/2010;09/09/2015;Arthur Lok Jack Graduate School of Business;Trinidad and Tobago;Business Administration (EM);http://www.caribbeanelections.com/knowledge/biography/bios/persad_bissessar_kamla.asp;21/11/2022
Patrick Augustus Mervyn Manning ;Trinidad and Tobago;GRULAC;Parliamentarism;24/12/2001;26/05/2010;University of West Indies - Mona Campus;Jamaica;Geology;http://www.caribbeanelections.com/knowledge/biography/bios/manning_patrick.asp;21/11/2022
Basdeo Panday ;Trinidad and Tobago;GRULAC;Parliamentarism;09/11/1995;24/12/2001;The Honourable Society of Lincoln's Inn ;United Kingdom;Law;http://www.caribbeanelections.com/knowledge/biography/bios/panday_basdeo.asp;21/11/2022
Basdeo Panday ;Trinidad and Tobago;GRULAC;Parliamentarism;09/11/1995;24/12/2001;London University;United Kingdom;Economics;http://www.caribbeanelections.com/knowledge/biography/bios/panday_basdeo.asp;21/11/2022
Basdeo Panday ;Trinidad and Tobago;GRULAC;Parliamentarism;09/11/1995;24/12/2001;London School of Dramatic Art;United Kingdom;Drama;http://www.caribbeanelections.com/knowledge/biography/bios/panday_basdeo.asp;21/11/2022
Patrick Augustus Mervyn Manning ;Trinidad and Tobago;GRULAC;Parliamentarism;17/12/1991;09/11/1995;University of West Indies - Mona Campus;Jamaica;Geology;http://www.caribbeanelections.com/knowledge/biography/bios/manning_patrick.asp;21/11/2022
Tabaré Ramón Vázquez Rosas ;Uruguay;GRULAC;Presidentialism;01/03/2015;01/03/2020;Universidad de la República;Uruguay;Medicine;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/uruguay/tabare_vazquez_rosas/(language)/esl-ES;21/11/2022
Tabaré Ramón Vázquez Rosas ;Uruguay;GRULAC;Presidentialism;01/03/2015;01/03/2020;Instituto Gustave Roussy de Paris;France;Medicine;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/uruguay/tabare_vazquez_rosas/(language)/esl-ES;21/11/2022
José Alberto Mujica Cordano;Uruguay;GRULAC;Presidentialism;01/03/2010;01/03/2015;-;-;-;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/uruguay/jose_mujica_cordano/(language)/esl-ES;21/11/2022
Tabaré Ramón Vázquez Rosas ;Uruguay;GRULAC;Presidentialism;01/05/2005;01/03/2010;Universidad de la República;Uruguay;Medicine;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/uruguay/tabare_vazquez_rosas/(language)/esl-ES;21/11/2022
Tabaré Ramón Vázquez Rosas ;Uruguay;GRULAC;Presidentialism;01/05/2005;01/03/2010;Instituto Gustave Roussy de Paris;France;Medicine;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/uruguay/tabare_vazquez_rosas/(language)/esl-ES;21/11/2022
Jorge Luis Batlle Ibáñez ;Uruguay;GRULAC;Presidentialism;01/03/2000;01/03/2005;Universidad de la República;Uruguay;Law and Social Sciences;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/uruguay/jorge_luis_batlle_ibanez/(language)/esl-ES;21/11/2022
Julio María Sanguinetti Coirolo ;Uruguay;GRULAC;Presidentialism;01/03/1995;01/03/2000;Universidad de Montevideo;Uruguay;Law and Social Sciences;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/uruguay/julio_maria_sanguinetti_coirolo/(language)/esl-ES;21/11/2022
Luis Alberto Lacalle de Herrera ;Uruguay;GRULAC;Presidentialism;01/03/1990;01/03/1995;Universidad de Montevideo;Uruguay;Law and Social Sciences;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/uruguay/luis_alberto_lacalle_herrera/(language)/esl-ES;21/11/2022
Nicolás Maduro Moros ;Venezuela;GRULAC;Presidentialism;05/03/2013;-;-;-;-;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/venezuela/nicolas_maduro_moros/(language)/esl-ES;21/11/2022
Hugo Rafael Chávez Frías ;Venezuela;GRULAC;Presidentialism;14/04/2002;05/03/2013;Academia Militar de Venezuela;Venezuela;Military Sciences;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/venezuela/hugo_chavez_frias/(language)/esl-ES;21/11/2022
Rafael Antonio Caldera Rodríguez;Venezuela;GRULAC;Presidentialism;02/02/1994;02/02/1999;Universidad Central de Venezuela ;Venezuela;Law;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/venezuela/rafael_caldera_rodriguez/(language)/esl-ES;21/11/2022
Ramón José Velásquez Mujica ;Venezuela;GRULAC;Presidentialism;05/06/1993;02/02/1994;Universidad Central de Venezuela ;Venezuela;Law;https://www.cidob.org/biografias_lideres_politicos/america_del_sur/venezuela/ramon_jose_velasquez_mujica/(language)/esl-ES;21/11/2022
